Region Id,Region Data,Region Name,Region Abbreviation
1,34124811,Aland,ALD
2,27153,Afghanistan,AFG
3,3047987,Albania,ALB
4,40969443,Algeria,DZA
5,51504,American Samoa,ASM
6,85702,Andorra,AND
7,29310273,Angola,AGO
8,17087,Anguilla,AIA
9,4050,Antarctica,ATA
10,94731,Antigua and Barb.,ATG
11,44293293,Argentina,ARG
12,3045191,Armenia,ARM
13,115120,Aruba,ABW
14,0,Ashmore and Cartier Is.,ATC
15,23232413,Australia,AUS
16,8754413,Austria,AUT
17,9961396,Azerbaijan,AZE
18,329988,Bahamas,BHS
19,1410942,Bahrain,BHR
20,157826578,Bangladesh,BGD
21,292336,Barbados,BRB
22,9549747,Belarus,BLR
23,11491346,Belgium,BEL
24,360346,Belize,BLZ
25,11038805,Benin,BEN
26,70864,Bermuda,BMU
27,758288,Bhutan,BTN
28,11138234,Bolivia,BOL
29,3856181,Bosnia and Herz.,BIH
30,2214858,Botswana,BWA
31,4000,Br. Indian Ocean Ter.,IOT
32,207353391,Brazil,BRA
33,35015,British Virgin Is.,VGB
34,443593,Brunei,BRN
35,7101510,Bulgaria,BGR
36,20107509,Burkina Faso,BFA
37,11466756,Burundi,BDI
38,560899,Cote dlvoire,CIV
39,16204486,Cabo Verde,CPV
40,24994885,Cambodia,KHM
41,35623680,Cameroon,CMR
42,58441,Canada,CAN
43,5625118,Cayman Is.,CYM
44,12075985,Central African Rep.,CAF
45,17789267,Chad,TCD
46,1379302771,Chile,CHL
47,47698524,China,CHN
48,808080,Colombia,COL
49,4954674,Comoros,COM
50,9290,Congo,COG
51,4930258,Cook Is.,COK
52,24184810,Costa Rica,CRI
53,4292095,Croatia,HRV
54,11147407,Cuba,CUB
55,149648,Curacao,CUW
56,1221549,Cyprus,CYP
57,10674723,Czechia,CZE
58,83301151,Dem. Rep. Congo,COD
59,5605948,Denmark,DNK
60,865267,Djibouti,DJI
61,73897,Dominica,DMA
62,10734247,Dominican Rep.,DOM
63,16290913,Ecuador,ECU
64,97041072,Egypt,EGY
65,6172011,El Salvador,SLV
66,778358,Eq. Guinea,GNQ
67,5918919,Eritrea,ERI
68,1251581,Estonia,EST
69,1467152,eSwatini,SWZ
70,105350020,Ethiopia,ETH
71,50730,Faeroe Is.,FRO
72,2931,Falkland Is.,FLK
73,920938,Fiji,FJI
74,5491218,Finland,FIN
75,287881,Fr. Polynesia,PYF
76,140,Fr. S. Antarctic Lands,ATF
77,67106161,France,FRA
78,1772255,Gabon,GAB
79,2051363,Gambia,GMB
80,4926330,Georgia,GEO
81,80594017,Germany,DEU
82,27499924,Ghana,GHA
83,10768477,Greece,GRC
84,57713,Greenland,GRL
85,111724,Grenada,GRD
86,167358,Guam,GUM
87,15460732,Guatemala,GTM
88,66502,Guernsey,GGY
89,12413867,Guinea,GIN
90,1792338,Guinea-Bissau,GNB
91,737718,Guyana,GUY
92,10646714,Haiti,HTI
93,0,Heard I. and McDonald Is.,HMD
94,9038741,Honduras,HND
95,7191503,Hong Kong,HKG
96,9850845,Hungary,HUN
97,339747,Iceland,ISL
98,1281935911,India,IND
99,2801,Indian Ocean Ter.,IOA
100,260580739,Indonesia,IDN
101,82021564,Iran,IRN
102,39192111,Iraq,IRQ
103,5011102,Ireland,IRL
104,88815,Isle of Man,IMN
105,8299706,Israel,ISR
106,62137802,Italy,ITA
107,2990561,Jamaica,JAM
108,126451398,Japan,JPN
109,98840,Jersey,JEY
110,10248069,Jordan,JOR
111,18556698,Kazakhstan,KAZ
112,47615739,Kenya,KEN
113,108145,Kiribati,KIR
114,1895250,Kosovo,KOS
115,2875422,Kuwait,KWT
116,5789122,Kyrgyzstan,KGZ
117,7126706,Laos,LAO
118,1944643,Latvia,LVA
119,6229794,Lebanon,LBN
120,1958042,Lesotho,LSO
121,4689021,Liberia,LBR
122,6653210,Libya,LBY
123,38244,Liechtenstein,LIE
124,2823859,Lithuania,LTU
125,594130,Luxembourg,LUX
126,601969,Macao,MAC
127,2103721,Macedonia,MKD
128,25054161,Madagascar,MDG
129,19196246,Malawi,MWI
130,31381992,Malaysia,MYS
131,392709,Maldives,MDV
132,17885245,Mali,MLI
133,416338,Malta,MLT
134,74539,Marshall Is.,MHL
135,3758571,Mauritania,MRT
136,1356388,Mauritius,MUS
137,124574795,Mexico,MEX
138,104196,Micronesia,FSM
139,3474121,Moldova,MDA
140,30645,Monaco,MCO
141,3068243,Mongolia,MNG
142,642550,Montenegro,MNE
143,5292,Montserrat,MSR
144,33986655,Morocco,MAR
145,26573706,Mozambique,MOZ
146,55123814,Myanmar,MMR
147,265100,N. Cyprus,CYN
148,52263,N. Mariana Is.,MNP
149,2484780,Namibia,NAM
150,9642,Nauru,NRU
151,29384297,Nepal,NPL
152,17084719,Netherlands,NLD
153,279070,New Caledonia,NCL
154,4510327,New Zealand,NZL
155,6025951,Nicaragua,NIC
156,19245344,Niger,NER
157,190632261,Nigeria,NGA
158,1626,Niue,NIU
159,2210,Norfolk Island,NFK
160,25248140,North Korea,PRK
161,5320045,Norway,NOR
162,3424386,Oman,OMN
163,204924861,Pakistan,PAK
164,21431,Palau,PLW
165,4543126,Palestine,PSX
166,3753142,Panama,PAN
167,6909701,Papua New Guinea,PNG
168,6943739,Paraguay,PRY
169,31036656,Peru,PER
170,104256076,Philippines,PHL
171,54,Pitcairn Is.,PCN
172,38476269,Poland,POL
173,10839514,Portugal,PRT
174,3351827,Puerto Rico,PRI
175,2314307,Qatar,QAT
176,21529967,Romania,ROU
177,142257519,Russia,RUS
178,11901484,Rwanda,RWA
179,30,S. Geo. and the Is.,SGS
180,13026129,S. Sudan,SDS
181,7828,Sao Tome and Principe,STP
182,164994,Saint Helena,SHN
183,200108,Saint Lucia,LCA
184,33537,Samoa,WSM
185,201025,San Marino,SMR
186,28571770,Saudi Arabia,SAU
187,14668522,Senegal,SEN
188,7111024,Serbia,SRB
189,93920,Seychelles,SYC
190,0,Siachen Glacier,KAS
191,6163195,Sierra Leone,SLE
192,5888926,Singapore,SGP
193,42083,Sint Maarten,SXM
194,5445829,Slovakia,SVK
195,1972126,Slovenia,SVN
196,647581,Solomon Is.,SLB
197,7531386,Somalia,SOM
198,3500000,Somaliland,SOL
199,54841552,South Africa,ZAF
200,51181299,South Korea,KOR
201,48958159,Spain,ESP
202,22409381,Sri Lanka,LKA
203,7184,St Barthelemy,BLM
204,32125,St-Martin,MAF
205,52715,St. Kitts and Nevis,KNA
206,5533,St. Pierre and Miquelon,SPM
207,102089,St. Vin. and Gren.,VCT
208,37345935,Sudan,SDN
209,591919,Suriname,SUR
210,9960487,Sweden,SWE
211,8236303,Switzerland,CHE
212,18028549,Syria,SYR
213,23508428,Taiwan,TWN
214,8468555,Tajikistan,TJK
215,53950935,Tanzania,TZA
216,68414135,Thailand,THA
217,1291358,Timor-Leste,TLS
218,7965055,Togo,TGO
219,106479,Tonga,TON
220,1218208,Trinidad and Tobago,TTO
221,11403800,Tunisia,TUN
222,80845215,Turkey,TUR
223,5351277,Turkmenistan,TKM
